"Leeg";"website";"lng";"Straat";"huisnr";"Postcode";"busnr";"Gemeente";"Tekst";"categorie";"Wat";"Id";"Naam";"Label";"lat";
"";"www.tatjanapieters.com";"3.7174463";"nieuwevaart";"124";"9000";"1";"Gent";"";"Galerie";"";"1";"Galerie Tatjana Pieters";"";"51.067116";
"";"www.kristofdeclercq.com";"3.7230906";"Tichelrei";"85";"9000";" ";"Gent";"";"Galerie";"";"2";"Kristof De Clercq Gallery";"";"51.061474";
"";"www.flinxo.com ";"3.727168";"Ottogracht ";"38";"9000";"";"Gent";"";"Galerie";"";"3";"Flinxo";"";"51.058723";
"";"www.entrepotfictief.be";"3.7286434";"Jacob van Caeneghemstraat";"16";"9000";"";"Gent";"";"Galerie";"";"4";"Entrepot Fictief";"";"51.061577";
"";"www.quai-des-arts.com ";"3.732754";"Sint-Joriskaai ";"6A";"9000";" ";"Gent";"";"Galerie";"";"5";"Quai des Arts";"";"51.056503";
"";"www.galerielink.be  ";"3.7296052";"Kwaadham";"52";"9000";"";"Gent";"";"Galerie";"";"6";"Galerie Link";"";"51.054688";
"";"www.ceciliajaime.com";"3.7232258";"Kraanlei";"55";"9000";" ";"Gent";"";"Galerie";"";"7";"Cecilia Jaime Gallery";"";"51.05732";
"";"www.pontENplas.be ";"3.721521";"Hooiaard";"6";"9000";" ";"Gent";"";"Galerie";"";"8";"Galerie Pont & Plas";"";"51.055397";
"";"www.jandhaese.be";"3.720333";"Ajuinlei";"158";"9000";" ";"Gent";"";"Galerie";"";"9";"Jan Dhaese";"";"51.05147";
"";"www.galeriedebuck.be";"3.7324655";"Zuidstationstraat";"25";"9000";" ";"Gent";"";"Galerie";"";"10";"Galerie S&H De Buck";"";"51.048714";
"";"www.arttrack.be   ";"3.733069";"Zuidstationstraat";"8";"9000";"";"Gent";"";"Galerie";"";"10";"Art Track Gallery";"";"51.049084";
"";"www.villadebondt.be  ";"3.7192";"Krijgslaan";"124";"9000";"";"Gent";"";"Galerie";"";"12";"Villa De Bondt";"";"51.029728";
"";"www.gent.be/eCache/THE/4/125.cmVjPTE4ODQzOQ.html";"3.7213924";"Veldstraat";"82";"9000";"";"Gent";"";"Extra in Gent";"Onder de noemer Gent Matinee openen Gentse Galeries, die een platform bieden aan hedendaagse kunstenaars, hun deuren op 22 juni, 5 oktober en 7 december 2014. Het event is gericht naar een breed publiek en wordt versterkt door gelijklopende tentoonstellingen in Gentse Musea, S.M.A.K., MSK en Design museum Gent. De toegang tot de galeries is gratis voor het publiek.";"13";"Gent Matinee";"";"51.05156";
"";"www.croxhapox.be";"3.737226";"Lucas Munichstraat";"76-82";"9000";" ";"Gent";"";"Centrum voor beeldende kunst";"Croxhapox is een experimenteel kunstencentrum met aandacht voor de totale diversiteit van actuele beeldende kunst en biedt ook ruimte aan performance, dans, film, theater, educatieve toonmomenten en experimentele en hedendaagse muziek. Centraal in het programma staat de autonomie van het artistieke discours. Naast de organisatie van tentoonstellingen geeft Croxhapox ook kunstenaarsboeken  e.d. uit";"14";"Croxhapox";"";"51.05563";
"";"www.geuzenhuis.be ";"3.7286353";"Kantienberg";"9";"9000";"";"Gent";"";"Centrum voor beeldende kunst";"25 jaar geleden werd de vzw Kunst in het Geuzenhuis (KIG) in het leven geroepen. KIG speelt nog steeds een pioniersrol in het bieden van kansen aan jongeren en/of minder bekende kunstenaars die het vrijzinnige gedachtegoed genegen zijn. KIG organiseert regelmatig tentoonstellingen en andere creatieve evenementen in het Geuzenhuis en gaat daarbij gedurfde samenwerkingsverbanden niet uit de weg.";"15";"Geuzenhuis";"";"51.041447";
"";"www.kioskgallery.be";"3.7161126";"Louis Pasteurlaan";"2";"9000";"";"Gent";"";"Centrum voor beeldende kunst";""Sinds 2006 presenteert KIOSK actuele beeldende kunst met werk van opkomende nationale en internationale kunstenaars. Jaarlijks worden vier tentoonstellingen gerealiseerd, doorgaans in de vorm van duopresentaties. Hierbij gaat bijzondere aandacht uit naar creatie en het individuele traject van de kunstenaar.  KIOSK heeft zich in het voormalig anatomisch theater van het gerestaureerde Instituut Cloquet op de Gentse Bijlokesite gevestigd. <br/>KIOSK is een initiatief van Kunstensite vzw en KASK - School of Arts van de Hogeschool Gent.<br/>"";"16";"KIOSK";"";"51.046017";
"";"www.caermersklooster.be  ";"3.7225468";"Vrouwebroerstraat";"6";"9000";"";"Gent";"";"Centrum voor beeldende kunst";"Met een eigenzinnige programmering en boeiende partnerships bezet het Caermersklooster een eigen plaats in het culturele landschap van de Provincie Oost-Vlaanderen. Individuele tentoonstellingen van kunstenaars die specifiek in functie van de monumentale ruimte werken, worden afgewisseld met thematische en groepstentoonstellingen die een meervoudig perspectief bieden op de eigentijdse kunst en cultuur.";"17";"Provinciaal Cultuurcentrum Caermerklooster";"";"51.05811";
"";"www.zebrastraat.be";"3.7347143";"Zebrastraat";"32";"9000";" ";"Gent";"";"Centrum voor beeldende kunst";""Zebrastraat biedt een forum aan jonge kunstenaars, ongewone thema’s en nieuwe kunststromingen. Daarnaast organiseert het een tweejaarlijkse thematentoonstelling rond experimentele, digitale en interactieve kunst en een wedstrijd New Technological Art Award Liedts-Meesen.<br/>Cultuur in de Zebrastraat zijn tentoonstellingen, kunstwerken van een permanente collectie van de Stichting Liedts-Meesen, de kunstenaar van de maand, optredens, lezingen en debatten van Zebrapoint, exceptionele concerten en events. De Zebrastraat is beschikbaar voor culturele activiteiten georganiseerd door derden of deel uitmakend van een globaal concept.<br/>"";"18";"Zebrastraat";"";"51.04035";
