website;lng;Straat;huisnr;Postcode;busnr;Gemeente;Tekst;categorie;Wat;Id;Naam;Label;lat;
http://beta.lokeren.be;3.989082;Groentemakrt;1;9160;;Lokeren;;Stadslocaties;;1;Stadhuis;;51.103981;
http://beta.lokeren.be;3.991668;Kerkplein;3;9160;;Lokeren;;Stadslocaties;;2;Bibliotheek;;51.104563;
http://beta.lokeren.be;3.996806;Sportlaan;4;9160;;Lokeren;;Stadslocaties;;3;Buitenschoolse kinderopvang;;51.106697;
http://beta.lokeren.be;3.992322;Kerkplein;5;9160;;Lokeren;;Stadslocaties;;4;Cultureel Centrum;;51.104528;
http://beta.lokeren.be;3.989282;Markt;2;9160;;Lokeren;;Stadslocaties;;5;Infopunt Toerisme;;51.104040;
http://beta.lokeren.be;3.989093;Markt;8;9160;;Lokeren;;Stadslocaties;;6;Oude Bank;;51.104036;
http://beta.lokeren.be;3.993503;Sportlaan;2;9160;;Lokeren;;Stadslocaties;;7;Sporthal;;51.107633;
http://beta.lokeren.be;3.983702;Groendreef;8;9160;;Lokeren;;Stadslocaties;;8;Kunstacademie Ter Beuken;;51.108153;
http://beta.lokeren.be;3.986853;Oude Vismijn;34;9160;;Lokeren;;Stadslocaties;;9;Lokale Politie Lokeren;;51.104186;
http://beta.lokeren.be;3.999909;Lepelstraat;4;9160;;Lokeren;;Stadslocaties;;10;OCMW - Sociaal Huis;;51.101288;
http://beta.lokeren.be;4.015066;Weverslaan;18;9160;;Lokeren;;Stadslocaties;;10;Stadsmagazijn;;51.109279;
http://beta.lokeren.be;3.990003;Markt;15A;9160;;Lokeren;;Stadslocaties;;12;Museum;;51.105688;
http://beta.lokeren.be;3.993636;Sportlaan;2;9160;;Lokeren;;Stadslocaties;;13;Zwembad;;51.108001;
http://beta.lokeren.be;4.012972;Bobijnerslaan;;9160;;Lokeren;;Stadslocaties;;14;Recyclagepark;;51.108963;
http://www.ontdekhetwaasland.be/HighlightDetail--Europees-Natuurreservaat-Molsbroek-5121.aspx;4.021701;;;9160;;Lokeren;;Nauur & Recreatie;;15;Molsbroek;;51.106163;
http://www.ontdekhetwaasland.be/HighlightDetail--Bospark-8543.aspx;4.005997;;;9160;;Lokeren;;Nauur & Recreatie;;16;Bospark;;51.111417;
http://www.ontdekhetwaasland.be/HighlightDetail--Verloren-Bos-8382.aspx;4.002306;;;9160;;Lokeren;;Nauur & Recreatie;;17;Kasteelpark Verloren Bos;;51.108655;
http://www.ontdekhetwaasland.be/HighlightDetail--De-Meersen-van-de-Buylaers-8535.aspx;4.002306;;;9160;;Lokeren;;Nauur & Recreatie;;18;Meersen van de Buylaers;;51.108655;
http://www.ontdekhetwaasland.be/HighlightDetail--Daknamse-Meersen-8520.aspx;3.984175;;;9160;;Lokeren;;Nauur & Recreatie;;19;Daknamse Meersen;;51.117425;
http://www.ontdekhetwaasland.be/HighlightDetail--Heirbrugmolen-5012.aspx;3.979300;;;9160;;Lokeren;;Erfgoed & cultuur;;20;Heirbrugmolen;;51.103414;
http://www.ontdekhetwaasland.be/HighlightDetail--Sint-Laurentiuskerk-5013.aspx;3.991958;;;9160;;Lokeren;;Erfgoed & cultuur;;21;Sint-Laurentiuskerk;;51.104179;
http://www.ontdekhetwaasland.be/HighlightDetail--Reynaertbanken-8584.aspx;3.980205;;;9160;;Lokeren;;Erfgoed & cultuur;;22;Reynaertbanken;;51.125398;
http://www.ontdekhetwaasland.be/HighlightDetail--Liniewegel-5045.aspx;3.961730;;;9160;;Lokeren;;Erfgoed & cultuur;;23;Liniewegel;;51.151773;
http://www.ontdekhetwaasland.be/HighlightDetail--Onze-Lieve-Vrouwekerk-Eksaarde-5684.aspx;3.966107;;;9160;;Lokeren;;Erfgoed & cultuur;;24;Onze-Lieve-Vrouwekerk Eksaarde;;51.148986;
http://www.ontdekhetwaasland.be/HighlightDetail--Kruiskapel-5073.aspx;3.984193;;;9160;;Lokeren;;Erfgoed & cultuur;;25;Kruiskapel;;51.156335;
